Attribute,Target,Rulex,LIME,SHAP
AST_BLOOD,OTEK_LANC,0.0078545777,0.0153936683,0.1377386502
lat_im_2.0,DRESSLER,0.0,0.019924617,0.13572729
TIME_B_S_9.0,REC_IM,0.0,0.0065903019,0.12981987
GEPAR_S_n_1.0,DRESSLER,0.0,0.0,0.1253810742
LID_S_n_1.0,DRESSLER,0.0,0.0099712926,0.125152953
K_BLOOD,REC_IM,0.0040667065,0.0343856452,0.1243943929
inf_im_4.0,P_IM_STEN,0.0,0.0105857613,0.124248944
D_AD_ORIT,DRESSLER,0.0018474042,0.094167651,0.1197738717
NOT_NA_2_n,REC_IM,0.0,0.075995448,0.1194359137
ritm_ecg_p_01_nan,DRESSLER,0.0,0.0132506153,0.1161869788
INF_ANAM_1.0,REC_IM,0.0,0.0067294277,0.1114995655
K_BLOOD,P_IM_STEN,0.0000839918,0.0101285991,0.1090773736
LID_KB_1.0,DRESSLER,0.0,0.0119642887,0.1070668367
NA_BLOOD,A_V_BLOK,0.0048471497,0.0282202033,0.1069787014
inf_im_2.0,P_IM_STEN,0.0,0.0071651578,0.106753595
LID_KB_nan,REC_IM,0.0,0.0040026459,0.1036546393
NOT_NA_3_n,OTEK_LANC,0.0058992263,0.0158853846,0.1031141627
K_BLOOD,ZSN,0.0131624887,0.008288636,0.1016453066
INF_ANAM_2.0,REC_IM,0.0,0.0053926903,0.09986015
D_AD_ORIT,P_IM_STEN,0.0090340065,0.0197741697,0.0992084753
NA_BLOOD,FIBR_JELUD,0.0028946072,0.0085786648,0.0990400604
ritm_ecg_p_07_1.0,P_IM_STEN,0.0,0.0103832647,0.09773821
B_BLOK_S_n_1.0,P_IM_STEN,0.0,0.0036964091,0.09179074
lat_im_1.0,REC_IM,0.0,0.0058636657,0.0899217135
lat_im_1.0,DRESSLER,0.0,0.0054901081,0.0848308685
ant_im_4.0,REC_IM,0.0,0.0082820123,0.0834523968
NA_R_1_n,DRESSLER,0.0,0.0395932475,0.0821851535
NA_R_3_n,OTEK_LANC,0.0473631736,0.0443967203,0.0788662038
R_AB_3_n_1.0,REC_IM,0.0,0.0070087052,0.0775593635
ritm_ecg_p_01_1.0,P_IM_STEN,0.0,0.0035883046,0.075527632
NA_R_3_n,JELUD_TAH,0.0,0.0012955697,0.0668546651
GEPAR_S_n_1.0,REC_IM,0.0,0.0,0.0664226553
SEX_1,REC_IM,0.0,0.008939452,0.065331134
SEX_1,DRESSLER,0.0,0.0073944712,0.0616745875
NA_R_2_n,FIBR_PREDS,0.0,0.0255606357,0.0616188533
ASP_S_n_1.0,DRESSLER,0.0,0.0,0.0615577055
inf_im_2.0,REC_IM,0.0,0.0057273926,0.060243852
NOT_NA_3_n,REC_IM,0.0,0.0191734719,0.0586923455
NA_R_2_n,A_V_BLOK,0.0065420715,0.0222683311,0.0582415394
NA_KB_nan,P_IM_STEN,0.0,0.00433982,0.0575871443
LID_KB_nan,DRESSLER,0.0,0.0047116787,0.0568123516
D_AD_ORIT,FIBR_JELUD,0.035181416,0.0010677358,0.0565048751
NA_R_1_n,FIBR_PREDS,0.0061946208,0.0104324542,0.056449767
NA_KB_1.0,P_IM_STEN,0.0,0.007637616,0.0553308574
zab_leg_01_1.0,REC_IM,0.0,0.0121767657,0.05333678
S_AD_ORIT,RAZRIV,0.0125561947,0.0003051422,0.0518739808
NA_R_3_n,FIBR_PREDS,0.0103582911,0.0812538927,0.0517816702
NA_R_1_n,JELUD_TAH,0.0,0.0031794761,0.0501541924
INF_ANAM_2.0,P_IM_STEN,0.0,0.0061535563,0.047621205
n_p_ecg_p_07_1.0,REC_IM,0.0,0.0061901256,0.0408930653
TIME_B_S_2.0,P_IM_STEN,0.0,0.007202057,0.0404366635
INF_ANAM_1.0,P_IM_STEN,0.0,0.0038855709,0.0362207078
