Attribute,Target,Rulex,LIME,SHAP
ANT_CA_S_n,JELUD_TAH,0.0,0.0137007986,0.1760946433
D_AD_ORIT,FIBR_PREDS,0.0000596325,0.0391571524,0.1752412336
n_r_ecg_p_03,ZSN,0.0,0.0228025733,0.1733878458
lat_im,OTEK_LANC,0.0,0.0180582575,0.171838349
D_AD_ORIT,FIBR_JELUD,0.0084677898,0.0148207143,0.1713520092
NA_BLOOD,RAZRIV,0.0005553555,0.0131164686,0.1684259186
inf_im,OTEK_LANC,0.0,0.0246976264,0.1680999607
NA_KB,RAZRIV,0.0,0.0139559112,0.1679722242
GB,ZSN,0.0,0.0273657598,0.1671176821
n_p_ecg_p_07,REC_IM,0.0,0.0468909457,0.16530715
ant_im,FIBR_PREDS,0.0,0.0373285889,0.1649989092
INF_ANAM,FIBR_JELUD,0.0,0.0271256275,0.16251506
AST_BLOOD,FIBR_JELUD,0.0,0.0243989045,0.1622359478
D_AD_ORIT,REC_IM,0.0005920487,0.0297095093,0.1616257929
NOT_NA_KB,DRESSLER,0.0,0.0505606941,0.1610396667
TIME_B_S,REC_IM,0.000992407,0.0257105566,0.1600511743
NA_R_3_n,FIBR_JELUD,0.0,0.0273126487,0.1568765685
ASP_S_n,A_V_BLOK,0.0,0.0121141601,0.1545999438
NOT_NA_KB,PREDS_TAH,0.0,0.0127191499,0.153793378
zab_leg_03,OTEK_LANC,0.0,0.0210640048,0.1516151
NA_BLOOD,PREDS_TAH,0.0,0.0051335904,0.1510572782
inf_im,ZSN,0.0,0.0485405158,0.1498656306
R_AB_1_n,OTEK_LANC,0.0,0.0284091762,0.1481574
K_BLOOD,FIBR_PREDS,0.0000777612,0.028154121,0.1475540043
AST_BLOOD,PREDS_TAH,0.0,0.0053318204,0.146750615
FK_STENOK,FIBR_JELUD,0.0,0.0163263467,0.1465370605
DLIT_AG,DRESSLER,0.0047731396,0.0037644626,0.1458022556
NA_BLOOD,A_V_BLOK,0.0028400252,0.0136442123,0.145631219
S_AD_ORIT,A_V_BLOK,0.0004044632,0.0063178874,0.1445679298
NA_R_3_n,RAZRIV,0.0,0.0039528092,0.1444680429
inf_im,RAZRIV,0.0,0.005537017,0.1439426017
AST_BLOOD,OTEK_LANC,0.0000029246,0.0066250566,0.1415463617
DLIT_AG,FIBR_PREDS,0.0,0.0078748141,0.1409056957
SEX,PREDS_TAH,0.0,0.0026269553,0.1399217445
S_AD_ORIT,P_IM_STEN,0.0008062359,0.029290107,0.1395978579
K_BLOOD,A_V_BLOK,0.0008877097,0.0173546229,0.1393275939
LID_S_n,A_V_BLOK,0.0,0.0086191834,0.1364342988
lat_im,ZSN,0.0,0.020518002,0.1343999581
NA_KB,OTEK_LANC,0.0,0.0300552313,0.1331581162
